Player,index,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,All Star,MVP,DPOY,All-NBA,All-Defensive,Sixth Man,ROY,Scoring Champ,AST Champ,TRB Champ,STL Champ,BLK Champ,NBA Champ,Hall of Fame
Maurice Ager,7,Career,,,NBA,,82,4,6.2,0.8,2.3,.339,0.1,0.5,.250,0.6,1.8,.366,.368,0.4,0.6,.566,0.1,0.5,0.6,0.2,0.1,0.1,0.4,0.8,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Aguirre,15,Career,,,NBA,,923.0,639.0,30.0,7.8,16.1,0.484,0.4,1.4,0.312,7.4,14.7,0.5,0.498,4.0,5.4,0.741,1.8,3.1,5.0,3.1,0.7,0.3,2.5,2.8,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Blake Ahearn,5,Career,,,NBA,,19,0,11.9,1.1,4.1,.273,0.7,2.5,.298,0.4,1.6,.233,.364,1.7,1.7,.970,0.1,1.1,1.2,1.2,0.4,0.0,1.2,1.4,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danny Ainge,16,Career,,,NBA,,1042.0,508.0,26.6,4.5,9.5,0.469,1.0,2.5,0.37799999999999995,3.5,7.0,0.502,0.519,1.6,1.9,0.846,0.7,2.0,2.7,4.0,1.1,0.1,1.5,2.4,11.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Matthew Aitch,1,Career,,,ABA,,45,,14.2,2.2,5.5,0.405,0.0,0.0,0.0,2.2,5.4,0.408,0.405,1.2,1.7,0.675,,,3.6,0.4,,,0.8,1.5,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexis Ajinça,9,Career,,,NBA,,293.0,76.0,13.3,2.2,4.4,0.503,0.0,0.1,0.28600000000000003,2.2,4.2,0.51,0.507,0.9,1.1,0.797,1.2,2.7,3.9,0.5,0.3,0.6,0.8,2.3,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Henry Akin,3,Career,,,TOT,,88.0,,8.4,1.5,4.2,0.35,0.0,1.0,0.0,1.5,4.2,0.35200000000000004,0.35,0.5,0.8,0.6759999999999999,0.0,2.0,2.1,0.5,,,2.0,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Akognon,1,Career,,,NBA,,3,0,3.0,0.7,1.3,0.5,0.3,0.7,0.5,0.3,0.7,0.5,0.625,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,1.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeVaughn Akoon-Purcell,1,Career,,,NBA,,7,0,3.1,0.4,1.4,0.3,0.0,0.6,0.0,0.4,0.9,0.5,0.3,0.1,0.3,0.5,0.1,0.4,0.6,0.9,0.3,0.0,0.3,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solomon Alabi,2,Career,,,NBA,,26,0,7.0,0.6,2.0,0.314,0.0,0.0,,0.6,2.0,0.314,0.314,0.3,0.4,0.7,0.8,1.5,2.3,0.2,0.2,0.4,0.3,0.6,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Alarie,6,Career,,,NBA,,325,41,16.9,3.2,6.7,.475,0.1,0.4,.252,3.1,6.3,.490,.483,1.0,1.3,.775,1.3,2.1,3.4,1.1,0.4,0.3,1.0,2.2,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gary Alcorn,2,Career,,,NBA,,78.0,,10.8,1.3,4.5,0.293,,,,,,,,0.7,1.2,0.598,,,4.2,0.3,,,,2.2,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furkan Aldemir,1,Career,,,NBA,,41,9,13.2,1.0,1.9,0.513,0.0,0.1,0.0,1.0,1.8,0.5479999999999999,0.513,0.3,0.7,0.48100000000000004,1.9,2.4,4.3,0.7,0.4,0.4,0.4,2.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cole Aldrich,10,Career,,,NBA,,339.0,23.0,10.0,1.3,2.4,0.527,0.0,0.0,,1.3,2.4,0.527,0.527,0.5,0.7,0.738,1.0,2.4,3.3,0.5,0.4,0.7,0.6,1.5,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LaMarcus Aldridge,17,Career,,,NBA,,1028.0,984.0,34.2,7.8,16.0,0.491,0.2,0.6,0.321,7.6,15.3,0.498,0.49700000000000005,3.5,4.3,0.8109999999999999,2.6,5.6,8.2,2.0,0.7,1.1,1.6,2.4,19.4,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chuck Aleksinas,1,Career,,,NBA,,74,4,15.1,2.2,4.6,0.478,0.0,0.0,0.0,2.2,4.5,0.479,0.478,0.7,1.0,0.733,1.2,2.5,3.6,0.5,0.2,0.2,1.0,2.3,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cliff Alexander,1,Career,,,NBA,,8,0,4.5,0.6,1.3,0.5,0.0,0.0,,0.6,1.3,0.5,0.5,0.0,0.0,,0.3,0.5,0.8,0.0,0.1,0.3,0.1,0.1,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cory Alexander,12,Career,,,NBA,,307,35,15.8,1.9,4.9,.389,0.8,2.2,.354,1.1,2.7,.417,.468,0.9,1.1,.756,0.3,1.3,1.6,2.7,0.9,0.1,1.5,1.7,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Courtney Alexander,5,Career,,,NBA,,187.0,59.0,21.7,3.5,8.3,0.42200000000000004,0.2,0.6,0.33899999999999997,3.3,7.7,0.429,0.435,1.8,2.2,0.813,0.7,1.5,2.2,1.2,0.6,0.1,1.1,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gary Alexander,3,Career,,,NBA,,11.0,0.0,5.0,0.7,1.3,0.5710000000000001,0.0,0.0,,0.7,1.3,0.5710000000000001,0.5710000000000001,0.3,0.8,0.33299999999999996,0.6,0.7,1.4,0.2,0.3,0.0,0.7,0.9,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Alexander,2,Career,,,NBA,,67.0,0.0,11.1,1.5,3.7,0.41,0.2,0.7,0.34,1.3,3.0,0.426,0.442,0.9,1.3,0.698,0.7,1.1,1.8,0.7,0.2,0.4,0.8,1.7,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Alexander,1,Career,,,NBA,,2,0,6.5,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,0.0,0.0,,1.0,0.5,1.5,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ty-Shon Alexander,1,Career,,,NBA,,6,0,2.7,0.2,1.0,0.16699999999999998,0.2,0.7,0.25,0.0,0.3,0.0,0.25,0.2,0.3,0.5,0.0,0.3,0.3,0.2,0.0,0.0,0.0,0.2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victor Alexander,11,Career,,,NBA,,286,155,20.1,3.8,7.4,.518,0.1,0.2,.286,3.8,7.2,.525,.522,1.1,1.8,.634,1.6,3.3,4.8,0.9,0.5,0.6,1.3,2.5,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nickeil Alexander-Walker,2,Career,,,NBA,,88,11,16.4,2.9,7.3,0.39799999999999996,1.3,3.6,0.34700000000000003,1.6,3.7,0.44799999999999995,0.484,0.7,1.0,0.7190000000000001,0.2,2.2,2.4,1.9,0.6,0.3,1.3,1.5,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steve Alford,6,Career,,,NBA,,169.0,3.0,9.7,1.7,3.8,0.45899999999999996,0.2,0.6,0.324,1.5,3.1,0.48700000000000004,0.48700000000000004,0.8,0.9,0.87,0.1,0.7,0.9,1.0,0.5,0.1,0.5,0.7,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rawle Alkins,1,Career,,,NBA,,10,1,12.0,1.3,3.9,0.33299999999999996,0.3,1.2,0.25,1.0,2.7,0.37,0.37200000000000005,0.8,1.2,0.667,1.1,1.5,2.6,1.3,0.1,0.0,0.8,0.7,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bill Allen,1,Career,,,ABA,,38,,22.6,3.2,7.4,0.429,0.1,0.1,1.0,3.1,7.3,0.424,0.43200000000000005,1.5,2.6,0.586,,,7.1,0.6,,,1.0,3.2,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bob Allen,1,Career,,,NBA,,27,,8.6,0.5,1.6,0.326,,,,,,,,0.7,1.3,0.556,,,2.1,0.4,,,,1.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grayson Allen,3,Career,,,NBA,,113.0,27.0,18.1,2.8,6.5,0.42700000000000005,1.5,3.9,0.384,1.3,2.6,0.493,0.542,1.3,1.5,0.84,0.2,1.8,2.0,1.4,0.5,0.1,0.9,1.4,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jarrett Allen,6,Career,,,NBA,,266.0,201.0,25.0,4.1,6.6,0.614,0.1,0.3,0.205,4.0,6.3,0.633,0.618,2.4,3.4,0.696,2.6,5.6,8.1,1.3,0.5,1.4,1.2,2.1,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jerome Allen,4,Career,,,NBA,,117.0,1.0,11.2,1.0,2.8,0.35,0.3,1.1,0.317,0.6,1.7,0.37,0.41100000000000003,0.6,0.9,0.63,0.3,0.8,1.1,1.7,0.4,0.1,0.9,1.1,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kadeem Allen,3,Career,,,NBA,,47.0,2.0,13.6,1.9,4.4,0.435,0.5,1.3,0.349,1.4,3.1,0.47200000000000003,0.488,1.2,1.6,0.757,0.3,1.2,1.5,2.3,0.5,0.2,0.9,1.4,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lavoy Allen,8,Career,,,NBA,,388.0,87.0,17.8,2.1,4.5,0.47100000000000003,0.0,0.0,0.133,2.1,4.5,0.474,0.47200000000000003,0.5,0.7,0.682,1.8,2.9,4.8,1.0,0.3,0.6,0.7,1.8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucius Allen,12,Career,,,NBA,,702.0,,28.7,5.5,11.9,0.46299999999999997,,,,,,,,2.3,3.1,0.76,1.0,2.3,3.1,4.5,1.5,0.3,2.3,2.6,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malik Allen,14,Career,,,NBA,,478.0,125.0,15.2,2.2,4.9,0.439,0.0,0.0,0.188,2.2,4.9,0.441,0.44,0.5,0.7,0.778,1.0,1.9,2.8,0.5,0.3,0.5,0.7,1.9,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Randy Allen,2,Career,,,NBA,,70,6,11.3,1.6,3.7,0.442,0.0,0.1,0.0,1.6,3.6,0.456,0.442,0.3,0.6,0.5329999999999999,0.7,1.3,2.1,0.3,0.2,0.3,0.4,1.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ray Allen,20,Career,,,NBA,,1300.0,1149.0,35.6,6.6,14.6,0.452,2.3,5.7,0.4,4.3,8.9,0.485,0.53,3.4,3.8,0.894,0.9,3.1,4.1,3.4,1.1,0.2,2.1,2.2,18.9,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
Tony Allen,14,Career,,,NBA,,820.0,441.0,22.0,3.2,6.6,0.475,0.2,0.5,0.282,3.0,6.1,0.49200000000000005,0.48700000000000004,1.7,2.3,0.7090000000000001,1.2,2.3,3.5,1.3,1.4,0.4,1.4,2.4,8.1,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willie Allen,2,Career,,,ABA,,7,,4.3,0.6,1.9,.308,0.0,0.0,,0.6,1.9,.308,.308,0.7,0.9,.833,0.6,1.4,2.0,0.6,,,0.9,1.6,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Odis Allison,1,Career,,,NBA,,36,,4.6,0.5,2.2,0.218,,,,,,,,0.9,1.7,0.541,,,1.3,0.3,,,,0.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lance Allred,1,Career,,,NBA,,3,0,3.3,0.3,1.3,0.25,0.0,0.0,,0.3,1.3,0.25,0.25,0.3,0.7,0.5,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darrell Allums,1,Career,,,NBA,,22,,12.5,1.0,3.0,0.34299999999999997,0.0,0.0,0.0,1.0,3.0,0.348,0.34299999999999997,0.6,1.0,0.591,0.9,2.1,3.0,1.1,0.2,0.4,1.0,2.3,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morris Almond,5,Career,,,NBA,,38,1,9.5,1.1,3.0,.381,0.2,0.6,.292,0.9,2.3,.404,.412,0.7,0.9,.743,0.3,0.9,1.2,0.3,0.3,0.1,0.5,1.1,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derrick Alston,3,Career,,,NBA,,139.0,42.0,19.1,2.3,4.7,0.489,0.0,0.1,0.14300000000000002,2.3,4.6,0.493,0.49,0.8,1.7,0.48700000000000004,1.6,2.1,3.8,0.7,0.7,0.6,0.8,2.1,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rafer Alston,16,Career,,,NBA,,671,452,28.9,3.7,9.5,.383,1.5,4.2,.354,2.2,5.3,.407,.461,1.3,1.8,.729,0.4,2.5,2.8,4.8,1.2,0.2,1.8,2.1,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peter Aluma,1,Career,,,NBA,,2,0,2.5,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,0.0,0.0,,0.5,0.5,1.0,0.0,0.5,0.5,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Amaechi,8,Career,,,NBA,,294,93,16.4,2.3,5.6,.403,0.0,0.0,.077,2.3,5.6,.405,.403,1.7,2.6,.671,0.8,1.8,2.6,0.8,0.3,0.3,1.3,1.7,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
